algId,DIM,funcId,worst recorded,worst reached,best reached,mean reached,median reached,runs,succ,budget
"(1+(λ,λ)) GA",625,1,295,625,625,625,625,11,11,5787
"(1+(λ,λ)) GA",625,10,303,454,474,463.09090909090907,464,11,1,1953125
"(1+(λ,λ)) GA",625,11,0,312,312,312,312,11,11,286722
"(1+(λ,λ)) GA",625,12,0,562,562,562,562,11,11,637359
"(1+(λ,λ)) GA",625,13,0,158,208,201,208,11,9,1953125
"(1+(λ,λ)) GA",625,14,0,15,83,37.45454545454545,27,11,1,1953125
"(1+(λ,λ)) GA",625,15,1,39,95,67.18181818181819,66,11,1,1953125
"(1+(λ,λ)) GA",625,16,0,46,100,66.9090909090909,64,11,1,1953125
"(1+(λ,λ)) GA",625,17,1,14,39,26.272727272727273,24,11,1,1953125
"(1+(λ,λ)) GA",625,18,0.836299,3.88573,4.36784,4.077916363636364,4.06393,11,1,1953125
"(1+(λ,λ)) GA",625,2,0,625,625,625,625,11,11,757673
"(1+(λ,λ)) GA",625,22,-222447,264,276,272.54545454545456,274,11,3,1953125
"(1+(λ,λ)) GA",625,23,-30604,24,25,24.181818181818183,24,11,2,1953125
"(1+(λ,λ)) GA",625,3,89715,195625,195625,195625,195625,11,11,14138
"(1+(λ,λ)) GA",625,4,139,312,312,312,312,11,11,6840
"(1+(λ,λ)) GA",625,5,256,562,562,562,562,11,11,7346
"(1+(λ,λ)) GA",625,6,89,208,208,208,208,11,11,405731
"(1+(λ,λ)) GA",625,7,287,553,569,560.4545454545455,559,11,1,1953125
"(1+(λ,λ)) GA",625,8,150,314,314,314,314,11,11,27249
"(1+(λ,λ)) GA",625,9,292,624,625,624.4545454545455,624,11,5,1953125
(1+1) EA_>0,625,1,295,625,625,625,625,11,11,7368
(1+1) EA_>0,625,10,300,464,499,480.8181818181818,479,11,2,1953125
(1+1) EA_>0,625,11,0,312,312,312,312,11,11,90509
(1+1) EA_>0,625,12,0,562,562,562,562,11,11,191276
(1+1) EA_>0,625,13,0,208,208,208,208,11,11,46044
(1+1) EA_>0,625,14,0,3,51,16.818181818181817,7,11,1,1953125
(1+1) EA_>0,625,15,1,314,314,314,314,11,11,285407
(1+1) EA_>0,625,16,0,625,625,625,625,11,11,442053
(1+1) EA_>0,625,17,1,625,625,625,625,11,11,1840487
(1+1) EA_>0,625,18,0.801552,3.70443,4.13342,3.9591190909090908,3.92698,11,1,1953125
(1+1) EA_>0,625,2,0,625,625,625,625,11,11,236180
(1+1) EA_>0,625,22,-213705,266,278,272.54545454545456,272,11,2,1953125
(1+1) EA_>0,625,23,-28872,24,25,24.727272727272727,25,11,8,1953125
(1+1) EA_>0,625,3,92020,195625,195625,195625,195625,11,11,8480
(1+1) EA_>0,625,4,145,312,312,312,312,11,11,4728
(1+1) EA_>0,625,5,258,562,562,562,562,11,11,9071
(1+1) EA_>0,625,6,92,208,208,208,208,11,11,3342
(1+1) EA_>0,625,7,287,570,589,580.8181818181819,581,11,1,1953125
(1+1) EA_>0,625,8,150,314,314,314,314,11,11,736415
(1+1) EA_>0,625,9,280,625,625,625,625,11,11,1605116
gHC,625,1,291,625,625,625,625,11,11,626
gHC,625,10,285,294,324,309.45454545454544,314,11,1,1953125
gHC,625,11,0,312,312,312,312,11,11,56749
gHC,625,12,0,562,562,562,562,11,11,92916
gHC,625,13,0,208,208,208,208,11,11,36239
gHC,625,14,0,2,44,14.454545454545455,7,11,1,1953125
gHC,625,15,1,314,314,314,314,11,11,107659
gHC,625,16,0,625,625,625,625,11,11,135356
gHC,625,17,1,4,9,4.454545454545454,4,11,1,1953125
gHC,625,18,0.883895,3.6001,4.07921,3.8832281818181817,3.89038,11,1,1953125
gHC,625,2,0,625,625,625,625,11,11,87499
gHC,625,22,-210593,266,280,273.6363636363636,274,11,1,1953125
gHC,625,23,-28698,18,23,20.363636363636363,20,11,1,1953125
gHC,625,3,90354,195625,195625,195625,195625,11,11,626
gHC,625,4,133,312,312,312,312,11,11,624
gHC,625,5,267,562,562,562,562,11,11,626
gHC,625,6,93,208,208,208,208,11,11,625
gHC,625,7,295,481,497,488.90909090909093,490,11,1,1953125
gHC,625,8,149,257,273,263.1818181818182,262,11,1,1953125
gHC,625,9,307,310,334,316.54545454545456,312,11,1,1953125
"(1+10) EA_{r/2,2r}",625,1,294,625,625,625,625,11,11,21616
"(1+10) EA_{r/2,2r}",625,10,289,559,574,565.8181818181819,564,11,1,1953125
"(1+10) EA_{r/2,2r}",625,11,0,312,312,312,312,11,11,100153
"(1+10) EA_{r/2,2r}",625,12,0,562,562,562,562,11,11,326922
"(1+10) EA_{r/2,2r}",625,13,0,208,208,208,208,11,11,71936
